Delivery_person_Age,Delivery_person_Ratings,Distance_km,Order_to_pickup_min,multiple_deliveries,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,Festival,City,Time_taken(min)
37,4.9,3.0251492856775037,15.0,0,sunny,high,snack,motorcycle,no,urban,24
34,4.5,20.183529728733618,5.0,1,stormy,jam,snack,scooter,no,metropolitian,33
23,4.4,1.5527578022548725,15.0,1,sandstorms,low,drinks,motorcycle,no,urban,26
38,4.7,7.790401360105752,10.0,1,sunny,medium,buffet,motorcycle,no,metropolitian,21
32,4.6,6.2101379656240985,15.0,1,cloudy,high,snack,scooter,no,metropolitian,30
22,4.8,4.610365144357058,10.0,1,cloudy,jam,buffet,motorcycle,no,urban,26
33,4.7,16.600361127912656,15.0,1,fog,jam,meal,scooter,no,metropolitian,40
35,4.6,20.20525323529291,5.0,1,cloudy,medium,meal,motorcycle,no,metropolitian,32
22,4.8,19.975520086221444,10.0,1,stormy,jam,buffet,motorcycle,no,metropolitian,34
36,4.2,10.280582064621875,15.0,3,fog,jam,snack,motorcycle,no,metropolitian,46
21,4.7,6.242318682701243,10.0,1,stormy,high,meal,motorcycle,no,metropolitian,23
23,4.7,13.787860239172547,10.0,1,sandstorms,medium,drinks,scooter,no,metropolitian,21
34,4.3,2.9302578007621216,10.0,0,sandstorms,low,buffet,motorcycle,no,metropolitian,20
24,4.7,19.39661829066159,15.0,1,fog,jam,snack,scooter,no,metropolitian,41
29,4.5,13.763977224427641,10.0,1,sandstorms,jam,buffet,electric_scooter,no,metropolitian,20
35,4.0,6.21800119018663,15.0,1,windy,high,meal,scooter,no,metropolitian,33
33,4.2,16.849939918016492,10.0,1,sandstorms,jam,snack,motorcycle,no,metropolitian,40
21,4.7,4.5405743887312955,15.0,1,windy,jam,meal,motorcycle,no,urban,15
25,4.1,12.256076445468295,5.0,2,sandstorms,jam,snack,motorcycle,no,metropolitian,36
31,4.7,19.618739348801018,15.0,0,sandstorms,low,meal,electric_scooter,no,metropolitian,26
37,5.0,1.5581322655568652,15.0,1,sandstorms,low,snack,motorcycle,no,metropolitian,20
33,4.3,20.180635114114715,15.0,1,windy,jam,meal,scooter,no,metropolitian,39
25,4.0,6.116971669682334,5.0,1,cloudy,high,buffet,motorcycle,no,metropolitian,34
29,4.5,17.07559440107296,15.0,1,sunny,medium,meal,electric_scooter,no,metropolitian,15
27,5.0,4.470286489434607,5.0,0,stormy,jam,snack,motorcycle,no,urban,18
35,4.3,13.68204452608078,10.0,0,cloudy,low,drinks,scooter,no,metropolitian,38
32,4.0,13.973182653917394,15.0,1,windy,jam,buffet,motorcycle,no,metropolitian,47
23,4.8,16.85361872985359,10.0,0,windy,low,buffet,electric_scooter,no,urban,12
31,4.8,4.674172124263269,15.0,1,sandstorms,low,drinks,motorcycle,no,metropolitian,26
36,4.1,7.60161677107109,5.0,1,stormy,low,drinks,motorcycle,no,urban,22
26,4.3,7.720324413179964,10.0,0,sandstorms,low,buffet,motorcycle,no,urban,21
38,4.9,6.1756362610169315,5.0,1,cloudy,high,drinks,scooter,no,urban,25
32,3.5,17.29786575291325,10.0,0,stormy,jam,snack,scooter,no,urban,35
32,4.6,19.914686965545187,10.0,1,cloudy,low,drinks,scooter,no,metropolitian,30
33,4.9,10.724517748046026,15.0,1,sunny,medium,snack,motorcycle,no,metropolitian,22
20,4.7,6.127835452844326,10.0,0,windy,high,snack,scooter,no,urban,10
20,4.8,1.5203573134022046,10.0,1,sandstorms,low,meal,scooter,no,metropolitian,19
35,5.0,3.0734537599377685,10.0,1,sunny,low,snack,scooter,no,urban,11
26,4.9,3.1051314775458967,15.0,0,stormy,low,buffet,scooter,no,metropolitian,11
22,4.8,10.86742683448048,10.0,1,fog,low,snack,motorcycle,no,metropolitian,28
35,4.3,10.865464603780389,5.0,1,cloudy,medium,snack,motorcycle,no,metropolitian,33
37,4.7,13.682516298592299,5.0,3,sandstorms,jam,snack,motorcycle,no,metropolitian,52
28,4.6,16.826241648658115,15.0,1,stormy,jam,snack,scooter,no,metropolitian,22
37,4.9,3.0272369309754272,5.0,1,fog,low,snack,scooter,no,urban,16
23,4.9,9.175193844437826,5.0,0,sunny,jam,drinks,electric_scooter,no,metropolitian,11
27,4.9,9.315069177421892,15.0,1,windy,medium,drinks,scooter,no,metropolitian,25
37,4.8,6.209021101535612,10.0,1,cloudy,medium,drinks,motorcycle,no,urban,26
33,5.0,1.5203447277401048,10.0,1,sunny,high,snack,scooter,no,metropolitian,18
31,4.9,6.037225392443855,5.0,1,fog,medium,snack,motorcycle,no,metropolitian,16
31,4.8,17.078665498349437,10.0,1,stormy,low,drinks,scooter,no,metropolitian,23
25,5.0,4.717601092054723,15.0,0,cloudy,low,snack,motorcycle,no,metropolitian,15
28,4.8,12.464329297636581,10.0,1,sandstorms,jam,drinks,motorcycle,no,metropolitian,36
31,4.7,9.121425981981247,15.0,0,cloudy,low,snack,motorcycle,no,metropolitian,16
24,4.7,14.02323208308448,5.0,0,sunny,medium,buffet,motorcycle,no,urban,19
39,4.6,13.392612276663236,15.0,1,sunny,low,snack,motorcycle,no,metropolitian,27
